Klasor Adi;Ders Adi;Kurum
7d856a5528132d97c75d058e84f41111ba0cfb69-1748454313048;beyit şerhi;Kurum Girilecek
d39446f272688d5e772f0ac8214efd6620555449-1708617211865;dede korkut motifler;Kurum Girilecek
21d2040a9c9e57c5d50a264b599086d2ef57510b-1741026947117;Sözel Mantık ;Kurum Girilecek
5c288540cc4a3963fdae332c9d03f4a623c474ee-1732461399008;Edebi Akımlar soru çözümü;Kurum Girilecek
9164af3d6561e18303050881f011b7ebecf91c2e-1737733710798;Sözel Beceri ( Paragraf);Kurum Girilecek
a7e06edb1cab84d40171d62c7a53f99cce423b02-1751717177192;2025 Eski Türk Edebiyatı  Soru Çözümü ;Kurum Girilecek
3952b1ba6290cff1170a97c1b872549e03a00571-1735318601867;26) Dil bilgisi [Sözcük Türleri (edat, bağlaç, ünlem)]-2;Kurum Girilecek
dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1710270393446;CUMHURİYET ŞİİRİ -9;Kurum Girilecek
31428f79dc23045a5b7f841d72fb9ed20be8ea2f-1698348251580;EKİM AYI REHBERLİK - 2;Kurum Girilecek
2b34ff093a4fe562ccbd4d1dec9defa11fabe2e9-1762015800259;KONUŞMA EĞİTİMİ KAZANIMLAR - 2;Kurum Girilecek
0227ecef24ffd5f993e3a594193ec0e6cca913b3-1776095644119;ÇOCUK EDEBİYATI -10;Kurum Girilecek
dd436b06549a2a584be5a3c07d2a1813c8852a78-1672762055826;Eski Türk Dili 22, Sözcük Türleri;Kurum Girilecek
2c9c467309288b393c174b75223f4225b0d7472a-1772391068881;ŞUBAT AYI REHBERLİK;Kurum Girilecek
dc12c9d877c70209ea7d0274e884c99ee397001f-1767718047669;CÜMLE BİLGİSİ (Fiilde Çatı, o biterse cümle çeşitleri:) )-8;Kurum Girilecek
505e0ec32e4d06529dc663407c1f1a9c7814cd67-1710575618442;AYT Biyoloji: ;Kurum Girilecek
cd7d05e68c71654dbb3a45bdd22d1431e50099eb-1677430835709;CUMHIRİYET DÖNEMİ SANATÇILAR 1;Kurum Girilecek
5c288540cc4a3963fdae332c9d03f4a623c474ee-1733069500231;fransız ed. devamm;Kurum Girilecek
c2bdcd65896ccb7d920c772a7023ec30413ca386-1742153296368;ÇOCUK EDEBİYATININ ÇOCUĞA KATKILARI;Kurum Girilecek
299cbd7fac79e094a9bc3b87c31b8813983b41dd-1740502639253;CUMHURİYET ŞİİRİ -8;Kurum Girilecek
3952b1ba6290cff1170a97c1b872549e03a00571-1738947496295;41) Cümle Bilgisi (Cümle Çeşitleri) 8;Kurum Girilecek
d39446f272688d5e772f0ac8214efd6620555449-1703350381931;halk edebiyatı tür ve şekiller;Kurum Girilecek
